Temp,StopperFresh,StopperSalt
24.7,21.588,21.144
24.7,21.587,21.145
24.7,21.586,21.145
24.8,21.59,21.146
24.8,21.59,21.145
24.8,21.589,21.146
24.9,21.59,21.147
24.9,21.59,21.148
24.9,21.589,21.148
25,21.591,21.148
25,21.59,21.148
25,21.591,21.148
25.1,21.592,21.149
25.1,21.591,21.148
25.1,21.591,21.148
25.2,21.592,21.148
25.2,21.592,21.149
25.2,21.591,21.149
25.3,21.592,21.15
25.3,21.591,21.149
25.3,21.592,21.149
25.4,21.591,21.149
25.4,21.592,21.15
25.4,21.592,21.151
25.5,21.592,21.151
25.5,21.591,21.152
25.5,21.592,21.152
26.2,21.594,21.152
26.2,21.594,21.152
26.2,21.595,21.152
26.3,21.595,21.152
26.3,21.595,21.153
26.3,21.595,21.153
26.4,21.595,21.153
26.4,21.595,21.154
26.4,21.595,21.153
26.5,21.595,21.154
26.5,21.596,21.154
26.5,21.596,21.154
26.6,21.596,21.155
26.6,21.597,21.155
26.6,21.597,21.155
26.7,21.599,21.155
26.7,21.6,21.156
26.7,21.6,21.156
26.8,21.599,21.156
26.8,21.6,21.156
26.8,21.601,21.156
26.9,21.601,21.156
26.9,21.6,21.157
26.9,21.601,21.1565
27,21.6,21.158
27,21.601,21.157
27,21.601,21.1575
27.1,21.6,21.158
27.1,21.601,21.159
27.1,21.601,21.158
27.2,21.601,21.159
27.2,21.601,21.159
27.2,21.601,21.16
27.3,21.602,21.16
27.3,21.602,21.16
27.3,21.603,21.161
27.4,21.602,21.161
27.4,21.604,21.162
27.4,21.604,21.162
27.5,21.603,21.162
27.5,21.605,21.162
27.5,21.604,21.162
27.6,21.604,21.163
27.6,21.604,21.163
27.6,21.605,21.162
27.7,21.605,21.163
27.7,21.605,21.164
27.7,21.605,21.1635
