Date,Tank,Experiment,Aquarium,Substrate,NutLevel,NN,Time,Flow,TankTA,HeaderTA,TankTemp ,TankpH,TankSalinity,HeaderTemp,HeaderpH,HeaderSalinity
12/3/2015,1,1,1,Coral,Ambient,0,10:00,34,2114.212646,2182.341175,25.53,8.024342366,38.08799562,25.11,7.966244194,38.36805245
12/3/2015,1,1,2,Algae,Ambient,0,10:00,36,2176.386487,2182.341175,26.15,8.155093758,38.16186652,25.11,7.966244194,38.36805245
12/3/2015,1,1,3,Rubble,Ambient,0,10:00,33,2172.537036,2182.341175,25.86,7.992578323,38.18266077,25.11,7.966244194,38.36805245
12/3/2015,1,1,4,Sand,Ambient,0,10:00,36,2173.622839,2182.341175,25.6,7.967655389,38.17810719,25.11,7.966244194,38.36805245
12/3/2015,1,1,5,Coral,Med,3,10:00,31,2134.680869,2190.959574,25.5,7.985965897,38.26231507,25.07,7.968507919,38.32686858
12/3/2015,1,1,6,Algae,Med,3,10:00,29,2176.533015,2190.959574,26.03,8.166999157,38.40986787,25.07,7.968507919,38.32686858
12/3/2015,1,1,7,Rubble,Med,3,10:00,29,2188.158192,2190.959574,25.64,7.972141495,38.2932616,25.07,7.968507919,38.32686858
12/3/2015,1,1,8,Sand,Med,3,10:00,24,2170.823984,2190.959574,25.55,7.985245318,38.32450105,25.07,7.968507919,38.32686858
12/3/2015,1,1,9,Coral,High,6,10:00,31,2117.383382,2185.24279,25.67,8.056037983,38.19365803,25,7.983035313,37.70938204
12/3/2015,1,1,10,Algae,High,6,10:00,29,2174.269001,2185.24279,25.77,8.133814675,38.18397445,25,7.983035313,37.70938204
12/3/2015,1,1,11,Rubble,High,6,10:00,27,2177.803509,2185.24279,25.87,8.022771542,37.80440516,25,7.983035313,37.70938204
12/3/2015,1,1,12,Sand,High,6,10:00,34,2176.800196,2185.24279,25.72,7.999658781,38.15169347,25,7.983035313,37.70938204
12/3/2015,2,1,13,Coral,Ambient,0,10:00,36,2106.011118,2182.341175,25.37,7.955763232,37.92384187,25.11,7.966244194,38.36805245
12/3/2015,2,1,14,Algae,Ambient,0,10:00,37,2159.842625,2182.341175,25.44,8.069535327,37.56733051,25.11,7.966244194,38.36805245
12/3/2015,2,1,15,Rubble,Ambient,0,10:00,37,2177.106166,2182.341175,25.22,7.969733913,38.27466752,25.11,7.966244194,38.36805245
12/3/2015,2,1,16,Sand,Ambient,0,10:00,38,2159.299303,2182.341175,25.48,7.955876946,38.4284873,25.11,7.966244194,38.36805245
12/3/2015,2,1,17,Coral,Med,3,10:00,31,2148.273476,2190.959574,25.75,7.946955943,37.75590881,25.07,7.968507919,38.32686858
12/3/2015,2,1,18,Algae,Med,3,10:00,31,2183.082361,2190.959574,25.35,8.064104353,38.46406513,25.07,7.968507919,38.32686858
12/3/2015,2,1,19,Rubble,Med,3,10:00,30,2180.56466,2190.959574,25.33,7.93438556,38.40618151,25.07,7.968507919,38.32686858
12/3/2015,2,1,20,Sand,Med,3,10:00,27,2171.33547,2190.959574,25.4,7.962086236,38.19736681,25.07,7.968507919,38.32686858
12/3/2015,2,1,21,Coral,High,6,10:00,28,2150.048021,2185.24279,25.45,7.990062164,36.29741418,25,7.983035313,37.70938204
12/3/2015,2,1,22,Algae,High,6,10:00,31,2174.758659,2185.24279,25.56,8.067772589,38.28625175,25,7.983035313,37.70938204
12/3/2015,2,1,23,Rubble,High,6,10:00,29,2174.599523,2185.24279,25.41,7.977135086,36.47760909,25,7.983035313,37.70938204
12/3/2015,2,1,24,Sand,High,6,10:00,30,2158.908816,2185.24279,25.3,7.997292442,38.43166336,25,7.983035313,37.70938204
12/3/2015,3,1,25,Coral,Ambient,0,10:00,30,2126.947298,2182.341175,25.19,7.978610934,38.07508403,25.11,7.966244194,38.36805245
12/3/2015,3,1,26,Algae,Ambient,0,10:00,38,2171.190117,2182.341175,25.1,7.944420583,38.22621686,25.11,7.966244194,38.36805245
12/3/2015,3,1,27,Rubble,Ambient,0,10:00,32,2176.267641,2182.341175,25.22,7.996759409,35.66531158,25.11,7.966244194,38.36805245
12/3/2015,3,1,28,Sand,Ambient,0,10:00,32,2171.176298,2182.341175,25.14,7.959055715,38.19233982,25.11,7.966244194,38.36805245
