SampleID,Substrate,Species,InitialBW,InitialTemp,InitialDate,FinalBW,FinalTemp,FinalDate,InitDens,FinalDens,DeltaDens,pcDeltaDens,Volume,SA,AFDW,DW,Org,pcOrg,Nuts,Tank,Aq_Ex1,Aq_Ex2,Check
1,Coral,Montipora,18.763,26.904,10/18/2015,19.29,24.9,12/7/2015,28.86282544,29.67347121,0.810645774,0.028086154,12,123.5829644,10.84635,11.46295,0.6166,0.053790691,Ambient,Far,25,64,NA
2,Coral,Montipora,15.838,26.888,10/18/2015,16.418,24.805,12/7/2015,24.36334411,25.2555224,0.892178284,0.036619697,19,168.4327836,14.58561,15.47261,0.887,0.057327109,Ambient,Far,25,62,NA
3,Coral,Montipora,23.415,26.895,10/18/2015,24.998,24.881,12/7/2015,36.01892312,38.45398788,2.43506476,0.067605152,23,218.2103155,17.1006,18.1745,1.0739,0.059088283,Ambient,Far,25,61,NA
4,Coral,Montipora,15.428,26.947,10/18/2015,16.027,24.893,12/7/2015,23.73264833,24.65405503,0.921406701,0.038824437,14,139.273616,11.31491,12.02531,0.7104,0.0590754,Ambient,Far,25,63,NA
5,Coral,Montipora,16.994,26.962,10/18/2015,17.532,24.895,12/7/2015,26.14160155,26.96917035,0.827568799,0.031657158,12,105.5768815,9.61142,10.14622,0.5348,0.052709285,Medium,Far,29,65,NA
6,Coral,Montipora,9.22,26.893,10/18/2015,9.606,24.821,12/7/2015,14.18297975,14.776742,0.593762246,0.041864422,12,101.1580548,9.59922,10.14292,0.5437,0.053603893,Medium,Far,29,66,NA
7,Coral,Montipora,13.529,26.975,10/18/2015,13.875,24.981,12/7/2015,20.81144696,21.34367184,0.532224883,0.025573661,12,130.0203722,9.05158,9.62698,0.5754,0.059769523,Medium,Far,29,67,NA
8,Coral,Montipora,11.078,26.964,10/18/2015,11.199,24.899,12/7/2015,17.04111229,17.22722675,0.186114457,0.010921497,13,124.202109,10.5347,11.196,0.6613,0.059065738,Medium,Far,29,68,NA
9,Coral,Montipora,10.399,26.973,10/18/2015,10.758,24.878,12/7/2015,15.99661739,16.54884395,0.552226554,0.034521458,12,140.8426811,8.70285,9.29835,0.5955,0.064043621,High,Far,33,70,NA
10,Coral,Montipora,8.247,26.97,10/18/2015,8.621,24.905,12/7/2015,12.68622978,13.26153426,0.575304487,0.045348736,8,88.38501625,5.9409,6.3267,0.3858,0.060979658,High,Far,33,69,NA
11,Coral,Montipora,13.152,26.975,10/18/2015,13.719,24.85,12/7/2015,20.23151382,21.10369836,0.87218454,0.043110197,14,130.1051866,11.22113,11.88363,0.6625,0.055748959,High,Far,33,72,NA
12,Coral,Montipora,16.113,26.965,10/18/2015,16.426,24.771,12/7/2015,24.78637321,25.26782823,0.481455012,0.019424182,11,104.6184796,9.34719,9.87339,0.5262,0.053294765,High,Far,33,71,NA
13,Coral,Montipora,12.565,26.931,10/18/2015,13.031,24.709,12/7/2015,19.32854056,20.04535854,0.716817974,0.037085985,11,128.332567,8.16501,8.74921,0.5842,0.066771743,Ambient,Mid,13,49,NA
14,Coral,Montipora,12.42,26.929,10/18/2015,12.72,24.853,12/7/2015,19.10548934,19.56695412,0.461464777,0.024153518,11,128.8075273,8.34893,8.89723,0.5483,0.061625922,Ambient,Mid,13,50,NA
15,Coral,Montipora,10.427,26.916,10/18/2015,10.68,24.909,12/7/2015,16.03968889,16.42885816,0.389169273,0.024262894,9,85.365626,5.91752,6.37422,0.4567,0.071647982,Ambient,Mid,13,51,outlier in Org?
16,Coral,Montipora,14.591,26.91,10/18/2015,15.08,24.703,12/7/2015,22.44510405,23.1972992,0.752195148,0.03351266,17,190.3827329,13.4876,14.3246,0.837,0.058430951,Ambient,Mid,13,52,NA
17,Coral,Montipora,11.457,26.911,10/18/2015,11.372,24.682,12/7/2015,17.62412153,17.49334772,-0.130773804,-0.00742016,11,97.76548146,7.25372,7.72992,0.4762,0.061604777,Medium,Near,5,41,NA
