"" ,"SampleID" ,"Species" ,"Colony" ,"Volume" ,"HPC" ,"PercentBleached" ,"PercentDead" ,"TrayNum" ,"TrayWt" ,"DW" ,"AW" ,"AFDW" ,"pcAFDW" ,"SA" ,"Check" ,"Compromised" ,"Aqua" ,"Tank" ,"Nuts"
"1" ,1 ,"Montipora" ,1 ,5 ,"H" ,0 ,0 ,334 ,1.86644 ,5.00186 ,4.75546 ,0.2464 ,0.0492616746570275 ,18.8980176833833 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"2" ,1 ,"Montipora" ,2 ,5 ,"C" ,5 ,0 ,335 ,1.51133 ,4.26387 ,4.03337 ,0.2305 ,0.0540588714008636 ,14.6174952336502 ,NA ,TRUE ,25 ,"Far" ,"Ambient"
"3" ,1 ,"Montipora" ,3 ,2 ,"H" ,0 ,0 ,336 ,1.27468 ,2.19722 ,2.05752 ,0.1397 ,0.0635803424327106 ,12.4472671972343 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"4" ,2 ,"Montipora" ,1 ,8 ,"H" ,0 ,0 ,159 ,1.03339 ,5.81461 ,5.50331 ,0.3113 ,0.0535375545393414 ,24.6831895130153 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"5" ,2 ,"Montipora" ,2 ,5 ,"H" ,0 ,0 ,160 ,1.01764 ,4.06816 ,3.80966 ,0.2585 ,0.0635422402265397 ,15.4849555679735 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"6" ,2 ,"Montipora" ,3 ,6 ,"H" ,0 ,0 ,161 ,1.02716 ,5.58984 ,5.27264 ,0.3172 ,0.0567458102557497 ,22.4751086620107 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"7" ,3 ,"Montipora" ,1 ,7 ,"H" ,2 ,0 ,18 ,2.6674 ,5.8642 ,5.5353 ,0.328899999999999 ,0.0560860816479655 ,23.6832443276318 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"8" ,3 ,"Montipora" ,2 ,13 ,"P" ,5 ,0 ,19 ,2.6645 ,9.5003 ,8.8937 ,0.6066 ,0.0638506152437292 ,42.921937342313 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"9" ,3 ,"Montipora" ,3 ,3 ,"C" ,0 ,30 ,20 ,2.6796 ,2.81 ,2.6716 ,0.1384 ,0.0492526690391459 ,14.5512528081201 ,NA ,TRUE ,25 ,"Far" ,"Ambient"
"10" ,4 ,"Montipora" ,1 ,6 ,"H" ,0 ,0 ,317 ,1.78164 ,5.60546 ,5.30456 ,0.3009 ,0.0536798050472219 ,19.2355386134655 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"11" ,4 ,"Montipora" ,2 ,4 ,"H" ,0 ,0 ,318 ,1.78223 ,2.92967 ,2.73577 ,0.1939 ,0.066184928677974 ,14.3588343339611 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"12" ,4 ,"Montipora" ,3 ,4 ,"H" ,0 ,0 ,319 ,1.78092 ,3.49018 ,3.27458 ,0.215599999999999 ,0.0617733182815784 ,18.2040494159248 ,NA ,FALSE ,25 ,"Far" ,"Ambient"
"13" ,5 ,"Montipora" ,1 ,3 ,"H" ,0 ,0 ,329 ,1.76932 ,2.44638 ,2.31208 ,0.1343 ,0.0548974402995445 ,8.22352396938413 ,NA ,FALSE ,29 ,"Far" ,"Medium"
"14" ,5 ,"Montipora" ,2 ,6 ,"H" ,0 ,0 ,330 ,1.79416 ,4.83014 ,4.57674 ,0.2534 ,0.0524622474710878 ,18.1441157928261 ,NA ,FALSE ,29 ,"Far" ,"Medium"
"15" ,5 ,"Montipora" ,3 ,3 ,"C" ,0 ,5 ,331 ,1.7757 ,2.8697 ,2.7226 ,0.1471 ,0.0512597135589086 ,12.8983465710824 ,NA ,TRUE ,29 ,"Far" ,"Medium"
"16" ,6 ,"Montipora" ,1 ,4 ,"H" ,0 ,0 ,152 ,1.00443 ,3.05927 ,2.87417 ,0.185099999999999 ,0.0605046301895548 ,15.4534115558162 ,NA ,FALSE ,29 ,"Far" ,"Medium"
"17" ,6 ,"Montipora" ,2 ,5 ,"C" ,5 ,10 ,153 ,1.00467 ,5.07763 ,4.82953 ,0.2481 ,0.0488613782414237 ,12.1507534829565 ,NA ,TRUE ,29 ,"Far" ,"Medium"
