SampleLabel,Date,Aquarium,Tank,NutLevel,Days,Substrate,DOC,fDOM,InputDOC,InputfDOM,SourceDOC,SourcefDOM,Slope
T1_A_N0,11/5/2015,2,1,Ambient,14,Algae,71.67,30.65536602,70.54,44.05841747,69.12,38.99497295,0.01127489
T2_A_N0,11/5/2015,14,2,Ambient,14,Algae,69.62,42.5666488,68.62,47.08909747,69.12,38.99497295,0.009787325
T3_A_N0,11/5/2015,26,3,Ambient,14,Algae,69.07,47.9138968,66.64,38.52192537,69.12,38.99497295,0.05292607
T1_A_N2,11/5/2015,6,1,Med,14,Algae,76.09,37.11066899,72.65,42.87653608,69.12,38.99497295,0.02117125
T2_A_N2,11/5/2015,18,2,Med,14,Algae,71.78,38.29553284,69.72,40.47726814,69.12,38.99497295,0.04456066
T3_A_N2,11/5/2015,30,3,Med,14,Algae,76.28,48.90327826,71.56,45.60706336,69.12,38.99497295,0.02600336
T1_A_N4,11/5/2015,10,1,High,14,Algae,82.52,44.81666292,71.44,43.95629337,69.12,38.99497295,-0.01260685
T2_A_N4,11/5/2015,22,2,High,14,Algae,72.92,43.6343225,68.7,42.37715435,69.12,38.99497295,-0.02138487
T3_A_N4,11/5/2015,34,3,High,14,Algae,81.75,63.29133252,73.6,45.43829743,69.12,38.99497295,-0.06837308
T1_C_N0,11/5/2015,1,1,Ambient,14,Coral,83.64,44.37480447,70.54,44.05841747,69.12,38.99497295,0.13436644
T2_C_N0,11/5/2015,13,2,Ambient,14,Coral,77.76,53.32432089,68.62,47.08909747,69.12,38.99497295,0.198179825
T3_C_N0,11/5/2015,25,3,Ambient,14,Coral,92.88,83.01469856,66.64,38.52192537,69.12,38.99497295,0.18233653
T1_C_N2,11/5/2015,5,1,Med,14,Coral,82.06,68.35214978,72.65,42.87653608,69.12,38.99497295,0.10819854
T2_C_N2,11/5/2015,17,2,Med,14,Coral,70.71,53.65268531,69.72,40.47726814,69.12,38.99497295,0.14834438
T3_C_N2,11/5/2015,29,3,Med,14,Coral,83.97,65.21204907,71.56,45.60706336,69.12,38.99497295,0.17414209
T1_C_N4,11/5/2015,9,1,High,14,Coral,124.13,80.55883239,71.44,43.95629337,69.12,38.99497295,0.10090468
T2_C_N4,11/5/2015,21,2,High,14,Coral,95.62,84.78367644,68.7,42.37715435,69.12,38.99497295,0.0478299
T3_C_N4,11/5/2015,33,3,High,14,Coral,90.11,69.61628898,73.6,45.43829743,69.12,38.99497295,0.04369026
T1_R_N0,11/5/2015,3,1,Ambient,14,Rubble,76.26,43.31738629,70.54,44.05841747,69.12,38.99497295,0.44649424
T2_R_N0,11/5/2015,15,2,Ambient,14,Rubble,68.17,34.15544515,68.62,47.08909747,69.12,38.99497295,0.550840728
T3_R_N0,11/5/2015,27,3,Ambient,14,Rubble,65.27,41.7443474,66.64,38.52192537,69.12,38.99497295,0.41166035
T1_R_N2,11/5/2015,7,1,Med,14,Rubble,77.19,49.61691372,72.65,42.87653608,69.12,38.99497295,0.14513055
T2_R_N2,11/5/2015,19,2,Med,14,Rubble,72.33,45.23287114,69.72,40.47726814,69.12,38.99497295,0.17992696
T3_R_N2,11/5/2015,31,3,Med,14,Rubble,70.54,57.64652604,71.56,45.60706336,69.12,38.99497295,0.27675488
T1_R_N4,11/5/2015,11,1,High,14,Rubble,75.05,60.28400382,71.44,43.95629337,69.12,38.99497295,0.10057687
T2_R_N4,11/5/2015,23,2,High,14,Rubble,72.81,61.23039529,68.7,42.37715435,69.12,38.99497295,0.05126971
T3_R_N4,11/5/2015,35,3,High,14,Rubble,78.67,68.17111441,73.6,45.43829743,69.12,38.99497295,-0.01724887
T1_S_N0,11/5/2015,4,1,Ambient,14,Sand,72.3,35.89649078,70.54,44.05841747,69.12,38.99497295,0.09841074
T2_S_N0,11/5/2015,16,2,Ambient,14,Sand,68.38,40.80266561,68.62,47.08909747,69.12,38.99497295,0.1082593
T3_S_N0,11/5/2015,28,3,Ambient,14,Sand,63.73,40.14380791,66.64,38.52192537,69.12,38.99497295,0.14880322
