Date,BlkTank,Substrate,Aquarium,NutLevel,SampleTime,ActualTime,Conductivity,Temp,mV,InflowRate,pH,Notes
12/3/2015,A,Coral,1,Ambient,10:00,10:17,57.8,25.53,-54.3,,8.024342366,
12/3/2015,A,Algae,2,Ambient,10:00,10:16,58.6,26.15,-62.6,,8.155093758,
12/3/2015,A,Rubble,3,Ambient,10:00,10:14,58.3,25.86,-52.7,,7.992578323,
12/3/2015,A,Sand,4,Ambient,10:00,10:21,58,25.6,-51,,7.967655389,
12/3/2015,A,Coral,5,Med,10:00,10:19,58,25.5,-52,,7.985965897,
12/3/2015,A,Algae,6,Med,10:00,10:13,58.8,26.03,-63.2,,8.166999157,
12/3/2015,A,Rubble,7,Med,10:00,10:18,58.2,25.64,-51.3,,7.972141495,
12/3/2015,A,Sand,8,Med,10:00,10:22,58.14,25.55,-52,,7.985245318,
12/3/2015,A,Coral,9,High,10:00,10:20,58.1,25.67,-56.3,,8.056037983,
12/3/2015,A,Algae,10,High,10:00,10:21,58.2,25.77,-61,,8.133814675,
12/3/2015,A,Rubble,11,High,10:00,10:15,57.8,25.87,-54.5,,8.022771542,
12/3/2015,A,Sand,12,High,10:00,10:23,58.1,25.72,-53,,7.999658781,
12/3/2015,B,Coral,13,Ambient,10:00,10:03,57.4,25.37,-50.1,,7.955763232,
12/3/2015,B,Algae,14,Ambient,10:00,10:00,57,25.44,-56.9,,8.069535327,
12/3/2015,B,Rubble,15,Ambient,10:00,9:58,57.7,25.22,-50.8,,7.969733913,
12/3/2015,B,Sand,16,Ambient,10:00,10:01,58.2,25.48,-50.2,,7.955876946,
12/3/2015,B,Coral,17,Med,10:00,9:55,57.6,25.75,-49.9,,7.946955943,
12/3/2015,B,Algae,18,Med,10:00,9:56,58.1,25.35,-56.5,,8.064104353,
12/3/2015,B,Rubble,19,Med,10:00,9:57,58,25.33,-48.8,,7.93438556,
12/3/2015,B,Sand,20,Med,10:00,10:01,57.8,25.4,-50.5,,7.962086236,
12/3/2015,B,Coral,21,High,10:00,10:04,55.3,25.45,-52.2,,7.990062164,
12/3/2015,B,Algae,22,High,10:00,10:02,58.1,25.56,-56.9,,8.067772589,
12/3/2015,B,Rubble,23,High,10:00,9:59,55.5,25.41,-51.4,,7.977135086,
12/3/2015,B,Sand,24,High,10:00,9:56,58,25.3,-52.5,,7.997292442,
12/3/2015,C,Coral,25,Ambient,10:00,9:43,57.4,25.19,-51.3,,7.978610934,
12/3/2015,C,Algae,26,Ambient,10:00,9:41,57.5,25.1,-49.2,,7.944420583,
12/3/2015,C,Rubble,27,Ambient,10:00,9:45,54.2,25.22,-52.4,,7.996759409,
12/3/2015,C,Sand,28,Ambient,10:00,9:41,57.5,25.14,-50.1,,7.959055715,
12/3/2015,C,Coral,29,Med,10:00,9:43,57.7,25.17,-52.6,,8.000860553,
12/3/2015,C,Algae,30,Med,10:00,9:46,57.8,25.24,-52.3,,7.994781502,
12/3/2015,C,Rubble,31,Med,10:00,9:48,57.6,25.18,-49.9,,7.955104314,
12/3/2015,C,Sand,32,Med,10:00,9:42,57.8,25.15,-49.2,,7.94370711,
12/3/2015,C,Coral,33,High,10:00,9:44,57.6,25.15,-53.5,,8.016355174,
12/3/2015,C,Algae,34,High,10:00,9:47,57.6,25.28,-54.4,,8.029667756,
12/3/2015,C,Rubble,35,High,10:00,9:36,57.7,25.1,-47.4,,7.914004668,
12/3/2015,C,Sand,36,High,10:00,9:46,57.6,25.18,-51.5,,7.982133434,
12/3/2015,Header,,Gray,Ambient,10:00,,57.7,25.11,-50.5,,7.966244194,
12/3/2015,Header,,Pink,Med,10:00,,57.6,25.07,-50.6,,7.968507919,
12/3/2015,Header,,Red,High,10:00,,56.7,25,-51.4,,7.983035313,
12/3/2015,A,Coral,1,Ambient,14:00,13:47,59.2,26.78,-63.7,,8.164146237,
12/3/2015,A,Algae,2,Ambient,14:00,13:49,60.1,27.25,-73.5,,8.321504821,
12/3/2015,A,Rubble,3,Ambient,14:00,13:47,59.5,27.07,-59,,8.080894517,
12/3/2015,A,Sand,4,Ambient,14:00,13:53,59.8,26.99,-53.6,,7.991400958,
12/3/2015,A,Coral,5,Med,14:00,13:52,59.7,26.95,-64.3,,8.171669889,
12/3/2015,A,Algae,6,Med,14:00,13:49,60.1,27.37,-76.9,,8.376657911,
12/3/2015,A,Rubble,7,Med,14:00,13:51,59.9,27.08,-61,,8.114319668,
12/3/2015,A,Sand,8,Med,14:00,13:55,59.6,26.87,-59.8,,8.097282412,
12/3/2015,A,Coral,9,High,14:00,13:53,59.7,26.99,-69.4,,8.256703892,
12/3/2015,A,Algae,10,High,14:00,13:54,59.9,27.31,-65.5,,8.186384597,
12/3/2015,A,Rubble,11,High,14:00,13:48,60.2,27.46,-68.6,,8.236092239,
12/3/2015,A,Sand,12,High,14:00,13:51,59.9,27.06,-62.8,,8.144834109,
12/3/2015,B,Coral,13,Ambient,14:00,13:41,59.2,26.97,-62.3,,8.137784116,
12/3/2015,B,Algae,14,Ambient,14:00,13:34,59.1,26.56,-64.7,,8.184266659,
12/3/2015,B,Rubble,15,Ambient,14:00,13:36,59.1,26.72,-56.8,,8.04908294,
12/3/2015,B,Sand,16,Ambient,14:00,13:36,59.2,26.92,-53.5,,7.990732635,
12/3/2015,B,Coral,17,Med,14:00,13:33,59,26.47,-59.6,,8.099839965,
12/3/2015,B,Algae,18,Med,14:00,13:35,59.1,26.7,-70,,8.27123548,
12/3/2015,B,Rubble,19,Med,14:00,13:35,59.1,26.7,-56.5,,8.044333357,
12/3/2015,B,Sand,20,Med,14:00,13:39,59,26.71,-56.7,,8.047548581,
12/3/2015,B,Coral,21,High,14:00,13:37,59.8,27.01,-67.8,,8.229533004,
12/3/2015,B,Algae,22,High,14:00,13:40,59.9,27.31,-78,,8.396052617,
12/3/2015,B,Rubble,23,High,14:00,13:38,59.1,26.71,-59.8,,8.099650294,
12/3/2015,B,Sand,24,High,14:00,13:33,59.1,26.42,-59.6,,8.100580068,
12/3/2015,C,Coral,25,Ambient,14:00,13:22,58.8,26.26,-56.4,,8.049085843,
12/3/2015,C,Algae,26,Ambient,14:00,13:21,59,26.21,-55.8,,8.039716337,
12/3/2015,C,Rubble,27,Ambient,14:00,13:26,58.7,26.23,-56.2,,8.046157964,
12/3/2015,C,Sand,28,Ambient,14:00,13:20,50.1,26.1,-52.6,,7.987430324,
12/3/2015,C,Coral,29,Med,14:00,13:26,57.9,26.15,-57.7,,8.07258535,
12/3/2015,C,Algae,30,Med,14:00,13:24,59,26.42,-61.6,,8.134226616,
12/3/2015,C,Rubble,31,Med,14:00,13:24,58.7,26.33,-57.2,,8.06152452,
12/3/2015,C,Sand,32,Med,14:00,13:22,58.8,26.21,-51.3,,7.963958497,
12/3/2015,C,Coral,33,High,14:00,13:27,58.6,26.02,-57.3,,8.067759351,
12/3/2015,C,Algae,34,High,14:00,13:25,57.4,26.28,-63.4,,8.166611235,
12/3/2015,C,Rubble,35,High,14:00,13:19,55.9,26.04,-50.5,,7.952921994,
12/3/2015,C,Sand,36,High,14:00,13:25,58.9,26.3,-58.1,,8.07711171,
12/3/2015,Header,,Gray,Ambient,14:00,14:06,58.7,26.05,-51.4,,7.967938601,
12/3/2015,Header,,Pink,Med,14:00,14:05,58.7,26.07,-51.4,,7.967651472,
12/3/2015,Header,,Red,High,14:00,14:06,58.6,26.03,-51.8,,7.974963827,
12/3/2015,A,Coral,1,Ambient,18:00,18:00,58.5,25.81,-52.3,,7.986557212,
12/3/2015,A,Algae,2,Ambient,18:00,18:00,58.8,26.05,-59.8,,8.109428859,
12/3/2015,A,Rubble,3,Ambient,18:00,18:00,58.7,25.87,-53.4,,8.004231902,
12/3/2015,A,Sand,4,Ambient,18:00,18:00,58.8,26.02,-52.4,,7.985215091,
12/3/2015,A,Coral,5,Med,18:00,18:00,58.7,26.01,-54.5,,8.02073653,
12/3/2015,A,Algae,6,Med,18:00,18:00,58.9,26.08,-62.3,,8.15108996,
12/3/2015,A,Rubble,7,Med,18:00,18:00,59,26.05,-54.6,,8.021839652,
12/3/2015,A,Sand,8,Med,18:00,18:00,58.8,26.03,-55.8,,8.042344645,
12/3/2015,A,Coral,9,High,18:00,18:00,58.7,26.04,-57.2,,8.065781091,
12/3/2015,A,Algae,10,High,18:00,18:00,58.5,26.06,-68.2,,8.250766094,
12/3/2015,A,Rubble,11,High,18:00,18:00,58.8,26.06,-55.9,,8.043590854,
12/3/2015,A,Sand,12,High,18:00,18:00,58.8,26.1,-57.1,,8.063216012,
12/3/2015,B,Coral,13,Ambient,18:00,18:00,58.8,25.95,-50.2,,7.949154828,
12/3/2015,B,Algae,14,Ambient,18:00,18:00,58.5,25.8,-54.1,,8.01704608,
12/3/2015,B,Rubble,15,Ambient,18:00,18:00,58.5,25.77,-51.5,,7.97364604,
12/3/2015,B,Sand,16,Ambient,18:00,18:00,58.7,28.85,-52.2,,7.941233037,
12/3/2015,B,Coral,17,Med,18:00,18:00,58.4,25.4,-52.5,,7.995847738,
12/3/2015,B,Algae,18,Med,18:00,18:00,58.6,25.85,-58,,8.082056031,
12/3/2015,B,Rubble,19,Med,18:00,18:00,58.5,26.01,-51,,7.961774373,
12/3/2015,B,Sand,20,Med,18:00,18:00,58.5,25.72,-53.1,,8.001345049,
12/3/2015,B,Coral,21,High,18:00,18:00,58.8,25.97,-55.5,,8.038166465,
12/3/2015,B,Algae,22,High,18:00,18:00,58.6,25.89,-603,,8.120228704,
12/3/2015,B,Rubble,23,High,18:00,18:00,58.6,25.75,-51.8,,7.978991814,
12/3/2015,B,Sand,24,High,18:00,18:00,58.5,25.74,-53.8,,8.012858825,
12/3/2015,C,Coral,25,Ambient,18:00,18:00,58.4,25.9,-51.8,,7.976833578,
12/3/2015,C,Algae,26,Ambient,18:00,18:00,58.6,25.96,-54,,8.013038656,
12/3/2015,C,Rubble,27,Ambient,18:00,18:00,58.5,25.85,-53,,7.997779305,
12/3/2015,C,Sand,28,Ambient,18:00,18:00,58.6,25.9,-51.5,,7.971777819,
12/3/2015,C,Coral,29,Med,18:00,18:00,58.5,25.8,-55.1,,8.033904245,
12/3/2015,C,Algae,30,Med,18:00,18:00,58.5,26,-58.6,,8.089954126,
12/3/2015,C,Rubble,31,Med,18:00,18:00,58.8,25.94,-53.6,,8.006588691,
12/3/2015,C,Sand,32,Med,18:00,18:00,58.6,25.92,-50.8,,7.95969448,
12/3/2015,C,Coral,33,High,18:00,18:00,58.5,25.69,-53.6,,8.010211225,
12/3/2015,C,Algae,34,High,18:00,18:00,58.7,25.91,-58.7,,8.092968276,
12/3/2015,C,Rubble,35,High,18:00,18:00,58.4,25.81,-48.7,,7.92586985,
12/3/2015,C,Sand,36,High,18:00,18:00,58.6,25.95,-55.8,,8.043513204,
12/3/2015,Header,,Gray,Ambient,18:00,18:00,58.5,25.49,-50.2,,7.955733831,
12/3/2015,Header,,Pink,Med,18:00,18:00,58.6,25.82,-50.1,,7.949327563,
12/3/2015,Header,,Red,High,18:00,18:00,58.6,25.84,-49.8,,7.943984946,
12/3/2015,A,Coral,1,Ambient,22:00,21:33,58,25.2,-42.8,,7.834884508,
12/3/2015,A,Algae,2,Ambient,22:00,21:31,57.9,25.39,-48.8,,7.933531318,
12/3/2015,A,Rubble,3,Ambient,22:00,21:29,58.1,25.35,-46.8,,7.900333639,
12/3/2015,A,Sand,4,Ambient,22:00,21:23,58.2,25.46,-48.9,,7.934222621,
12/3/2015,A,Coral,5,Med,22:00,21:22,58.2,25.43,-40.9,,7.799617369,
12/3/2015,A,Algae,6,Med,22:00,21:28,58.1,25.46,-48.7,,7.930847149,
