Date,BlkTank,Aquarium,NutLevel,SampleTime,ActualTime,Conductivity,Temp,mV,InflowRate,pH,Notes,,,,,,,,,,,,
12/3/2015,A,37,Ambient,10:00,9:18,58.8,25.3,-49.1,35,7.939878657,,,,,,,,,,,,,
12/3/2015,A,38,Ambient,10:00,9:26,58.4,25.3,-50.1,33,7.956765064,,,,,,,,,,,,,
12/3/2015,A,39,Ambient,10:00,9:34,58.5,25.31,-50.1,33,7.956621933,,,,,,,,,,,,,
12/3/2015,A,40,Ambient,10:00,9:31,58.6,25.57,-52.3,36,7.990018458,,,,,,,,,,,,,
12/3/2015,A,41,Med,10:00,9:23,58.4,25.36,-53.1,28,8.006555378,,,,,,,,,,,,,
12/3/2015,A,42,Med,10:00,9:20,58.4,25.38,-50.1,24,7.955620129,,,,,,,,,,,,,
12/3/2015,A,43,Med,10:00,9:29,58.6,25.1,-53.8,29,8.022150146,,,,,,,,,,,,,
12/3/2015,A,44,Med,10:00,9:28,58.8,25.68,-52.9,30,7.998550725,,,,,,,,,,,,,
12/3/2015,A,45,High,10:00,9:22,58.7,25.64,-51.4,29,7.973828215,,,,,,,,,,,,,
12/3/2015,A,46,High,10:00,9:21,58.4,25.31,-46.8,26,7.900898656,,,,,,,,,,,,,
12/3/2015,A,47,High,10:00,9:24,58.5,25.52,-52.3,33,7.990739844,,,,,,,,,,,,,
12/3/2015,A,48,High,10:00,9:32,58.7,25.7,-53.4,28,8.006693514,,,,,,,,,,,,,
12/3/2015,B,49,Ambient,10:00,9:44,58.3,25.25,-50.4,37,7.962547551,,,,,,,,,,,,,
12/3/2015,B,50,Ambient,10:00,9:41,58.4,25.33,-49.6,36,7.947893328,,,,,,,,,,,,,
12/3/2015,B,51,Ambient,10:00,10:04,58.2,25.26,-51.8,39,7.986048369,,,,,,,,,,,,,
12/3/2015,B,52,Ambient,10:00,9:39,58.3,25.29,-50.4,39,7.961974291,,,,,,,,,,,,,
12/3/2015,B,53,Med,10:00,9:42,58.3,25.25,-50.8,29,7.969303246,,,,,,,,,,,,,
12/3/2015,B,54,Med,10:00,10:01,58.5,25.39,-53.3,30,8.009497243,,,,,,,,,,,,,
12/3/2015,B,55,Med,10:00,9:58,58.4,25.39,-51.9,32,7.9858634,,,,,,,,,,,,,
12/3/2015,B,56,Med,10:00,10:02,58.5,25.45,-50.5,31,7.961369692,,,,,,,,,,,,,
12/3/2015,B,57,High,10:00,10:06,58.5,25.5,-56.5,31,8.061903842,,,,,,,,,,,,,
12/3/2015,B,58,High,10:00,9:35,58.3,25.3,-49.7,31,7.950010501,,,,,,,,,,,,,
12/3/2015,B,59,High,10:00,10:03,58.6,25.56,-51.2,29,7.971603847,,,,,,,,,,,,,
12/3/2015,B,60,High,10:00,9:59,58.5,25.37,-52.1,31,7.989528127,,,,,,,,,,,,,
12/3/2015,C,61,Ambient,10:00,9:53,58.3,25.34,-51.2,32,7.974765123,,,,,,,,,,,,,
12/3/2015,C,62,Ambient,10:00,9:52,58.3,25.34,-49.8,30,7.951127321,,,,,,,,,,,,,
12/3/2015,C,63,Ambient,10:00,9:45,58.4,25.36,-51.7,39,7.982919159,,,,,,,,,,,,,
12/3/2015,C,64,Ambient,10:00,9:57,58.4,25.43,-50.4,35,7.959968392,,,,,,,,,,,,,
12/3/2015,C,65,Med,10:00,9:49,58.3,25.33,-52.1,28,7.990105103,,,,,,,,,,,,,
12/3/2015,C,66,Med,10:00,9:56,58.4,25.42,-51.2,29,7.97361534,,,,,,,,,,,,,
12/3/2015,C,67,Med,10:00,9:58,58.4,25.42,-51.8,30,7.983743113,,,,,,,,,,,,,
12/3/2015,C,68,Med,10:00,9:47,58.3,25.35,-50.8,27,7.967867954,,,,,,,,,,,,,
12/3/2015,C,69,High,10:00,9:50,58.2,25.23,-50.1,29,7.957767095,,,,,,,,,,,,,
12/3/2015,C,70,High,10:00,9:54,58.2,25.25,-51.6,30,7.982814636,not sure about this inflow rate… couldn’t read it,,,,,,,,,,,,
12/3/2015,C,71,High,10:00,9:51,58.3,25.32,-50.1,29,7.956478806,,,,,,,,,,,,,
12/3/2015,C,72,High,10:00,9:47,58.3,25.35,-51.1,32,7.972933028,,,,,,,,,,,,,
12/3/2015,Header,Gray,Ambient,10:00,10:08,58.1,25.21,-49.6,,7.949607676,,,,,,,,,,,,,
12/3/2015,Header,Pink,Med,10:00,10:07,58.1,25.22,-51.1,,7.974801194,,,,,,,,,,,,,
12/3/2015,Header,Red,High,10:00,10:09,58.1,25.16,-51.6,,7.984110825,,,,,,,,,,,,,
12/3/2015,A,37,Ambient,14:00,13:18,60.7,27.35,-63.5,32,8.152238335,,,,,,,,,,,,,
12/3/2015,A,38,Ambient,14:00,13:24,60.3,27.06,-64.8,33,8.178408929,,,,,,,,,,,,,
12/3/2015,A,39,Ambient,14:00,13:29,60.7,27.44,-63.8,34,8.155919822,,,,,,,,,,,,,
12/3/2015,A,40,Ambient,14:00,13:27,60.4,27.32,-64.7,35,8.172815323,,,,,,,,,,,,,
