Scan No ,Date and Time,RAW VALUE ,CALIBRATED VALUE
1,01/12/2015 , 13:45:00,65,11.8
2,01/12/2015 , 14:00:00,66,12
3,01/12/2015 , 14:15:00,65,11.8
4,01/12/2015 , 14:30:00,65,11.8
5,01/12/2015 , 14:45:00,64,11.6
6,01/12/2015 , 15:00:00,66,12
7,01/12/2015 , 15:15:00,44,8
8,01/12/2015 , 15:30:00,897,162.6
9,01/12/2015 , 15:45:00,782,141.7
10,01/12/2015 , 16:00:00,556,100.8
11,01/12/2015 , 16:15:00,362,65.6
12,01/12/2015 , 16:30:00,424,76.9
13,01/12/2015 , 16:45:00,253,45.9
14,01/12/2015 , 17:00:00,194,35.2
15,01/12/2015 , 17:15:00,103,18.7
16,01/12/2015 , 17:30:00,59,10.7
17,01/12/2015 , 17:45:00,26,4.7
18,01/12/2015 , 18:00:00,1,0.2
19,01/12/2015 , 18:15:00,0,0
20,01/12/2015 , 18:30:00,0,0
21,01/12/2015 , 18:45:00,0,0
22,01/12/2015 , 19:00:00,0,0
23,01/12/2015 , 19:15:00,0,0
24,01/12/2015 , 19:30:00,0,0
25,01/12/2015 , 19:45:00,0,0
26,01/12/2015 , 20:00:00,0,0
27,01/12/2015 , 20:15:00,0,0
28,01/12/2015 , 20:30:00,0,0
29,01/12/2015 , 20:45:00,0,0
30,01/12/2015 , 21:00:00,0,0
31,01/12/2015 , 21:15:00,0,0
32,01/12/2015 , 21:30:00,0,0
33,01/12/2015 , 21:45:00,0,0
34,01/12/2015 , 22:00:00,0,0
35,01/12/2015 , 22:15:00,0,0
36,01/12/2015 , 22:30:00,0,0
37,01/12/2015 , 22:45:00,0,0
38,01/12/2015 , 23:00:00,0,0
39,01/12/2015 , 23:15:00,0,0
40,01/12/2015 , 23:30:00,0,0
41,01/12/2015 , 23:45:00,0,0
42,01/12/2015 , 24:00:00,0,0
43,02/12/2015 , 00:15:00,0,0
44,02/12/2015 , 00:30:00,0,0
45,02/12/2015 , 00:45:00,0,0
46,02/12/2015 , 01:00:00,0,0
47,02/12/2015 , 01:15:00,0,0
48,02/12/2015 , 01:30:00,0,0
49,02/12/2015 , 01:45:00,0,0
50,02/12/2015 , 02:00:00,0,0
51,02/12/2015 , 02:15:00,0,0
52,02/12/2015 , 02:30:00,0,0
53,02/12/2015 , 02:45:00,0,0
54,02/12/2015 , 03:00:00,0,0
55,02/12/2015 , 03:15:00,0,0
56,02/12/2015 , 03:30:00,0,0
57,02/12/2015 , 03:45:00,0,0
58,02/12/2015 , 04:00:00,0,0
59,02/12/2015 , 04:15:00,0,0
60,02/12/2015 , 04:30:00,0,0
61,02/12/2015 , 04:45:00,0,0
62,02/12/2015 , 05:00:00,0,0
63,02/12/2015 , 05:15:00,0,0
64,02/12/2015 , 05:30:00,0,0
65,02/12/2015 , 05:45:00,0,0
66,02/12/2015 , 06:00:00,0,0
67,02/12/2015 , 06:15:00,0,0
68,02/12/2015 , 06:30:00,0,0
69,02/12/2015 , 06:45:00,0,0
70,02/12/2015 , 07:00:00,4,0.7
71,02/12/2015 , 07:15:00,56,10.2
72,02/12/2015 , 07:30:00,74,13.4
73,02/12/2015 , 07:45:00,104,18.9
74,02/12/2015 , 08:00:00,428,77.6
75,02/12/2015 , 08:15:00,628,113.8
76,02/12/2015 , 08:30:00,933,169.1
77,02/12/2015 , 08:45:00,1193,216.2
78,02/12/2015 , 09:00:00,1340,242.9
79,02/12/2015 , 09:15:00,650,117.8
80,02/12/2015 , 09:30:00,667,120.9
81,02/12/2015 , 09:45:00,928,168.2
82,02/12/2015 , 10:00:00,777,140.8
83,02/12/2015 , 10:15:00,1786,323.7
84,02/12/2015 , 10:30:00,1508,273.3
85,02/12/2015 , 10:45:00,1767,320.3
86,02/12/2015 , 11:00:00,1399,253.6
87,02/12/2015 , 11:15:00,2173,393.9
88,02/12/2015 , 11:30:00,2212,400.9
89,02/12/2015 , 11:45:00,1458,264.3
90,02/12/2015 , 12:00:00,1801,326.5
91,02/12/2015 , 12:15:00,1910,346.2
92,02/12/2015 , 12:30:00,2079,376.8
93,02/12/2015 , 12:45:00,1832,332.1
94,02/12/2015 , 13:00:00,1976,358.2
95,02/12/2015 , 13:15:00,2031,368.1
96,02/12/2015 , 13:30:00,2148,389.3
97,02/12/2015 , 13:45:00,1825,330.8
98,02/12/2015 , 14:00:00,1861,337.3
99,02/12/2015 , 14:15:00,1653,299.6
100,02/12/2015 , 14:30:00,1626,294.7
101,02/12/2015 , 14:45:00,1060,192.1
102,02/12/2015 , 15:00:00,722,130.9
103,02/12/2015 , 15:15:00,746,135.2
104,02/12/2015 , 15:30:00,460,83.4
105,02/12/2015 , 15:45:00,536,97.2
106,02/12/2015 , 16:00:00,775,140.5
