Scan No ,Date,Time,Raw Value,Calibrated
1,01/12/2015 , 13:45:00,111,111
2,01/12/2015 , 14:00:00,111,111
3,01/12/2015 , 14:15:00,110,110
4,01/12/2015 , 14:30:00,111,111
5,01/12/2015 , 14:45:00,110,110
6,01/12/2015 , 15:00:00,110,110
7,01/12/2015 , 15:15:00,75,75
8,01/12/2015 , 15:30:00,1644,1644
9,01/12/2015 , 15:45:00,1279,1279
10,01/12/2015 , 16:00:00,861,861
11,01/12/2015 , 16:15:00,608,608
12,01/12/2015 , 16:30:00,739,739
13,01/12/2015 , 16:45:00,432,432
14,01/12/2015 , 17:00:00,324,324
15,01/12/2015 , 17:15:00,184,184
16,01/12/2015 , 17:30:00,112,112
17,01/12/2015 , 17:45:00,66,66
18,01/12/2015 , 18:00:00,17,17
19,01/12/2015 , 18:15:00,0,0
20,01/12/2015 , 18:30:00,0,0
21,01/12/2015 , 18:45:00,0,0
22,01/12/2015 , 19:00:00,0,0
23,01/12/2015 , 19:15:00,0,0
24,01/12/2015 , 19:30:00,0,0
25,01/12/2015 , 19:45:00,0,0
26,01/12/2015 , 20:00:00,0,0
27,01/12/2015 , 20:15:00,0,0
28,01/12/2015 , 20:30:00,0,0
29,01/12/2015 , 20:45:00,0,0
30,01/12/2015 , 21:00:00,0,0
31,01/12/2015 , 21:15:00,0,0
32,01/12/2015 , 21:30:00,0,0
33,01/12/2015 , 21:45:00,0,0
34,01/12/2015 , 22:00:00,0,0
35,01/12/2015 , 22:15:00,0,0
36,01/12/2015 , 22:30:00,0,0
37,01/12/2015 , 22:45:00,0,0
38,01/12/2015 , 23:00:00,0,0
39,01/12/2015 , 23:15:00,0,0
40,01/12/2015 , 23:30:00,0,0
41,01/12/2015 , 23:45:00,0,0
42,01/12/2015 , 24:00:00,0,0
43,02/12/2015 , 00:15:00,0,0
44,02/12/2015 , 00:30:00,0,0
45,02/12/2015 , 00:45:00,0,0
46,02/12/2015 , 01:00:00,0,0
47,02/12/2015 , 01:15:00,0,0
48,02/12/2015 , 01:30:00,0,0
49,02/12/2015 , 01:45:00,0,0
50,02/12/2015 , 02:00:00,0,0
51,02/12/2015 , 02:15:00,0,0
52,02/12/2015 , 02:30:00,0,0
53,02/12/2015 , 02:45:00,0,0
54,02/12/2015 , 03:00:00,0,0
55,02/12/2015 , 03:15:00,0,0
56,02/12/2015 , 03:30:00,0,0
57,02/12/2015 , 03:45:00,0,0
58,02/12/2015 , 04:00:00,0,0
59,02/12/2015 , 04:15:00,0,0
60,02/12/2015 , 04:30:00,0,0
61,02/12/2015 , 04:45:00,0,0
62,02/12/2015 , 05:00:00,0,0
63,02/12/2015 , 05:15:00,0,0
64,02/12/2015 , 05:30:00,0,0
65,02/12/2015 , 05:45:00,0,0
66,02/12/2015 , 06:00:00,0,0
67,02/12/2015 , 06:15:00,0,0
68,02/12/2015 , 06:30:00,0,0
69,02/12/2015 , 06:45:00,0,0
70,02/12/2015 , 07:00:00,20,20
71,02/12/2015 , 07:15:00,111,111
72,02/12/2015 , 07:30:00,134,134
73,02/12/2015 , 07:45:00,180,180
74,02/12/2015 , 08:00:00,649,649
75,02/12/2015 , 08:15:00,947,947
76,02/12/2015 , 08:30:00,1187,1187
77,02/12/2015 , 08:45:00,1765,1765
78,02/12/2015 , 09:00:00,2518,2518
79,02/12/2015 , 09:15:00,1059,1059
80,02/12/2015 , 09:30:00,1015,1015
81,02/12/2015 , 09:45:00,1359,1359
82,02/12/2015 , 10:00:00,1175,1175
83,02/12/2015 , 10:15:00,2364,2364
84,02/12/2015 , 10:30:00,2199,2199
85,02/12/2015 , 10:45:00,2606,2606
86,02/12/2015 , 11:00:00,2081,2081
87,02/12/2015 , 11:15:00,3232,3232
88,02/12/2015 , 11:30:00,4031,4031
89,02/12/2015 , 11:45:00,2314,2314
90,02/12/2015 , 12:00:00,2695,2695
91,02/12/2015 , 12:15:00,3037,3037
92,02/12/2015 , 12:30:00,3172,3172
93,02/12/2015 , 12:45:00,3062,3062
94,02/12/2015 , 13:00:00,3184,3184
95,02/12/2015 , 13:15:00,3285,3285
96,02/12/2015 , 13:30:00,3443,3443
97,02/12/2015 , 13:45:00,3074,3074
98,02/12/2015 , 14:00:00,3031,3031
99,02/12/2015 , 14:15:00,2769,2769
100,02/12/2015 , 14:30:00,2647,2647
101,02/12/2015 , 14:45:00,1813,1813
102,02/12/2015 , 15:00:00,1154,1154
103,02/12/2015 , 15:15:00,1349,1349
104,02/12/2015 , 15:30:00,798,798
105,02/12/2015 , 15:45:00,757,757
106,02/12/2015 , 16:00:00,779,779
107,02/12/2015 , 16:15:00,559,559
108,02/12/2015 , 16:30:00,1078,1078
109,02/12/2015 , 16:45:00,398,398
110,02/12/2015 , 17:00:00,396,396
111,02/12/2015 , 17:15:00,224,224
112,02/12/2015 , 17:30:00,167,167
113,02/12/2015 , 17:45:00,84,84
114,02/12/2015 , 18:00:00,19,19
115,02/12/2015 , 18:15:00,0,0
116,02/12/2015 , 18:30:00,0,0
117,02/12/2015 , 18:45:00,0,0
118,02/12/2015 , 19:00:00,0,0
119,02/12/2015 , 19:15:00,0,0
120,02/12/2015 , 19:30:00,0,0
121,02/12/2015 , 19:45:00,0,0
122,02/12/2015 , 20:00:00,0,0
123,02/12/2015 , 20:15:00,0,0
124,02/12/2015 , 20:30:00,0,0
125,02/12/2015 , 20:45:00,0,0
126,02/12/2015 , 21:00:00,0,0
127,02/12/2015 , 21:15:00,0,0
128,02/12/2015 , 21:30:00,0,0
129,02/12/2015 , 21:45:00,0,0
130,02/12/2015 , 22:00:00,0,0
131,02/12/2015 , 22:15:00,0,0
132,02/12/2015 , 22:30:00,0,0
