Scan No ,Date, Time,RAW VALUE ,CALIBRATED VALUE
1,01/12/2015 , 13:45:00,85,85
2,01/12/2015 , 14:00:00,90,90
3,01/12/2015 , 14:15:00,95,95
4,01/12/2015 , 14:30:00,96,96
5,01/12/2015 , 14:45:00,99,99
6,01/12/2015 , 15:00:00,101,101
7,01/12/2015 , 15:15:00,69,69
8,01/12/2015 , 15:30:00,1944,1944
9,01/12/2015 , 15:45:00,1755,1755
10,01/12/2015 , 16:00:00,1122,1122
11,01/12/2015 , 16:15:00,820,820
12,01/12/2015 , 16:30:00,886,886
13,01/12/2015 , 16:45:00,579,579
14,01/12/2015 , 17:00:00,430,430
15,01/12/2015 , 17:15:00,242,242
16,01/12/2015 , 17:30:00,142,142
17,01/12/2015 , 17:45:00,79,79
18,01/12/2015 , 18:00:00,17,17
19,01/12/2015 , 18:15:00,0,0
20,01/12/2015 , 18:30:00,0,0
21,01/12/2015 , 18:45:00,0,0
22,01/12/2015 , 19:00:00,0,0
23,01/12/2015 , 19:15:00,0,0
24,01/12/2015 , 19:30:00,0,0
25,01/12/2015 , 19:45:00,0,0
26,01/12/2015 , 20:00:00,0,0
27,01/12/2015 , 20:15:00,0,0
28,01/12/2015 , 20:30:00,0,0
29,01/12/2015 , 20:45:00,0,0
30,01/12/2015 , 21:00:00,0,0
31,01/12/2015 , 21:15:00,0,0
32,01/12/2015 , 21:30:00,0,0
33,01/12/2015 , 21:45:00,0,0
34,01/12/2015 , 22:00:00,0,0
35,01/12/2015 , 22:15:00,0,0
36,01/12/2015 , 22:30:00,0,0
37,01/12/2015 , 22:45:00,0,0
38,01/12/2015 , 23:00:00,0,0
39,01/12/2015 , 23:15:00,0,0
40,01/12/2015 , 23:30:00,0,0
41,01/12/2015 , 23:45:00,0,0
42,01/12/2015 , 24:00:00,0,0
43,02/12/2015 , 00:15:00,0,0
44,02/12/2015 , 00:30:00,0,0
45,02/12/2015 , 00:45:00,0,0
46,02/12/2015 , 01:00:00,0,0
