"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",7.93156141304692,0.00972832089322159,43.8876964680624,815.306310318506,2.21736204154964e-93
"NCP.AFDW",0.00591062297343575,0.000395504788777279,472.581638215165,14.9445041909826,1.23888828005297e-41
"NutLevelMed",-0.0116263512213539,0.0123703798616982,472.00303800219,-0.939854018335525,0.347773162654587
"NutLevelHigh",-0.01314721250611,0.0123212863095548,472.032244952203,-1.06703246526417,0.286502598570922
"SubstrateCoral",-0.041619553379666,0.0120000016844716,472.041920894385,-3.46829562811836,0.000571738380750241
"SubstrateMixed",-0.0348695661831225,0.00975805876876597,472.057247980864,-3.5734121928774,0.000388582049072199
"SubstrateRubble",0.012953080967332,0.0118752245487912,472.060803711039,1.09076513998639,0.275932674784472
"SubstrateSand",0.0120874526724562,0.0118743660162846,472.049519670342,1.01794509752179,0.309225478727903
"NCP.AFDW:NutLevelMed",0.000778086161619646,0.000514628498553148,472.060932679527,1.51193757012524,0.131218876318417
"NCP.AFDW:NutLevelHigh",0.000921817564936365,0.000508933099138499,472.228648398846,1.8112745398104,0.0707335911123115
"NCP.AFDW:SubstrateCoral",-0.00140645725195617,0.000514791839379481,472.196389861844,-2.7320892531076,0.00652927334647185
"NCP.AFDW:SubstrateMixed",0.000774966723677072,0.000477394194191269,472.151054151773,1.6233266619212,0.105187018740543
"NCP.AFDW:SubstrateRubble",0.00512199445984233,0.00130120943519921,472.106831173398,3.93633363030309,9.51901066427557e-05
"NCP.AFDW:SubstrateSand",-0.00199122082834694,0.0014391293921032,472.238314900608,-1.38362876838816,0.167125816254278
"NutLevelMed:SubstrateCoral",0.0142471207604836,0.0168530804805721,471.995383141803,0.845371905563938,0.398331555740324
"NutLevelHigh:SubstrateCoral",0.0125027492010051,0.0168002412786181,472.013218521964,0.744200573888039,0.457125458271983
"NutLevelMed:SubstrateMixed",0.00994130801262384,0.0137099018782804,472.001817366786,0.72511883023562,0.468738458512302
"NutLevelHigh:SubstrateMixed",-0.00923464420286666,0.0136568069274019,472.030595707478,-0.676193509358156,0.499248964621917
"NutLevelMed:SubstrateRubble",0.00940934507909914,0.0167962800371454,471.998524901091,0.560204108188845,0.575606007701674
"NutLevelHigh:SubstrateRubble",-0.00181699637486928,0.0167771658990722,472.001900343623,-0.108301746898132,0.91380235972588
"NutLevelMed:SubstrateSand",0.00295956370903095,0.0167095096284858,471.997957712509,0.177118525608052,0.859491268814621
"NutLevelHigh:SubstrateSand",0.000348915743667198,0.0167107556234831,472.016137138621,0.0208797107401222,0.983350434797253
"NCP.AFDW:NutLevelMed:SubstrateCoral",5.1006331084977e-05,0.000705134567317213,471.994675450983,0.0723355986915207,0.942365476698326
"NCP.AFDW:NutLevelHigh:SubstrateCoral",-0.000430483494632245,0.000653749264262365,472.131741846113,-0.658484098055493,0.51054808465671
"NCP.AFDW:NutLevelMed:SubstrateMixed",0.000616835381764935,0.000622411361298019,472.036098450005,0.991041327520989,0.322173131068634
"NCP.AFDW:NutLevelHigh:SubstrateMixed",0.000262867040864617,0.000605050045802611,472.16896660184,0.43445503836946,0.664156508779474
"NCP.AFDW:NutLevelMed:SubstrateRubble",0.00191031226490684,0.00184104674605686,472.033713800102,1.03762290066688,0.29997688207796
"NCP.AFDW:NutLevelHigh:SubstrateRubble",0.00171822086365412,0.00161170710475914,472.300453808629,1.0660875407079,0.286928736966765
"NCP.AFDW:NutLevelMed:SubstrateSand",0.0023866765166384,0.0016846383602667,472.223033960092,1.41672929509961,0.157221434356825
"NCP.AFDW:NutLevelHigh:SubstrateSand",0.000965190954271803,0.00154870797183076,472.132015720334,0.623223339601482,0.533438702690595
